food_id,source,usda_food_id,name_zh,name_en,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,gi,gi_level,gi_source,gi_match_note,category,translation_note
foundation_323697,foundation_food,323697,蛋白，生，冷冻，巴氏杀菌,"Egg, white, raw, frozen, pasteurized",10.1,0.16,0.74,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_323793,foundation_food,323793,蛋白粉，干,"Egg, white, dried",79.9,0.65,6.02,,,,,Foundation Foods,
foundation_324038,foundation_food,324038,莎莎酱，即食,"Sauce, salsa, ready-to-serve",1.44,0.19,6.74,,,,,Foundation Foods,
foundation_324157,foundation_food,324157,早餐牛肉香肠，预熟，未加热,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3,28.7,3.37,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_324317,foundation_food,324317,洋葱圈，裹面包屑，预炸，冷冻，烤箱加热,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",4.52,14.4,36.3,,,,,Foundation Foods,
foundation_324653,foundation_food,324653,莳萝或犹太式腌黄瓜,"Pickles, cucumber, dill or kosher dill",0.48,0.43,1.99,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_324860,foundation_food,324860,花生酱，顺滑型，加盐,"Peanut butter, smooth style, with salt",22.5,51.1,22.3,,,,,Foundation Foods,
foundation_325036,foundation_food,325036,帕玛森奶酪，磨碎,"Cheese, parmesan, grated",29.6,28.0,12.4,,,,,Foundation Foods,
foundation_325198,foundation_food,325198,美式加工奶酪，强化维生素D,"Cheese, pasteurized process, American, vitamin D fortified",18.0,30.6,5.27,,,,,Foundation Foods,
foundation_325287,foundation_food,325287,白葡萄柚汁，罐装或瓶装，无糖,"Grapefruit juice, white, canned or bottled, unsweetened",0.55,0.7,7.59,,,,,Foundation Foods,
foundation_325430,foundation_food,325430,黄桃，生,"Peaches, yellow, raw",0.91,0.27,10.1,,,,,Foundation Foods,
foundation_325524,foundation_food,325524,葵花籽仁，干烤，加盐,"Seeds, sunflower seed kernels, dry roasted, with salt added",21.0,56.1,17.1,,,,,Foundation Foods,
foundation_325658,foundation_food,325658,意式猪肉香肠，温和口味，熟，平底锅煎,"Sausage, Italian, pork, mild, cooked, pan-fried",18.2,26.2,2.15,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_325871,foundation_food,325871,白面包，商业生产,"Bread, white, commercially prepared",9.43,3.59,49.2,,,,,Foundation Foods,
foundation_325992,foundation_food,325992,火鸡早餐香肠，小肠，温和口味，生,"Sausage, turkey, breakfast links, mild, raw",16.7,10.4,0.93,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_326135,foundation_food,326135,瑞士奶酪,"Cheese, swiss",27.0,31.0,1.44,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_326196,foundation_food,326196,羽衣甘蓝，冷冻，煮熟，水煮，沥干，不加盐,"Kale, frozen, cooked, boiled, drained, without salt",2.94,1.21,5.3,,,,,Foundation Foods,
foundation_326458,foundation_food,326458,冷冻胡萝卜，未加工（含USDA食品分发计划食品）,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",0.81,0.47,7.92,,,,,Foundation Foods,
foundation_326698,foundation_food,326698,黄芥末酱，已调制,"Mustard, prepared, yellow",4.25,3.38,5.3,,,,,Foundation Foods,
foundation_326905,foundation_food,326905,无花果，干，未煮,"Figs, dried, uncooked",3.3,0.92,63.9,,,,,Foundation Foods,
foundation_327046,foundation_food,327046,猕猴桃，绿色，生,"Kiwifruit, green, raw",1.06,0.44,14.0,,,,,Foundation Foods,
foundation_327198,foundation_food,327198,哈密瓜，生,"Melons, cantaloupe, raw",0.82,0.18,8.16,,,,,Foundation Foods,
foundation_327357,foundation_food,327357,油桃，生,"Nectarines, raw",1.06,0.28,9.18,,,,,Foundation Foods,
foundation_327501,foundation_food,327501,脐橙，生（含USDA食品分发计划食品）,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",0.91,0.15,11.8,,,,,Foundation Foods,
foundation_327699,foundation_food,327699,草莓，生,"Strawberries, raw",0.64,0.22,7.63,,,,,Foundation Foods,
foundation_327923,foundation_food,327923,长叶生菜，生,"Lettuce, cos or romaine, raw",1.24,0.26,3.24,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_328637,foundation_food,328637,切达奶酪,"Cheese, cheddar",23.3,34.0,2.44,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_328841,foundation_food,328841,低脂乡村奶酪，2%乳脂,"Cheese, cottage, lowfat, 2% milkfat",11.0,2.3,4.31,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_329370,foundation_food,329370,马苏里拉奶酪，低水分，部分脱脂,"Cheese, mozzarella, low moisture, part-skim",23.7,20.4,4.44,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_329490,foundation_food,329490,全蛋粉，干,"Egg, whole, dried",48.1,39.8,1.87,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_329596,foundation_food,329596,蛋黄，生，冷冻，巴氏杀菌,"Egg, yolk, raw, frozen, pasteurized",15.6,25.1,0.59,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_329716,foundation_food,329716,蛋黄粉，干,"Egg, yolk, dried",34.2,55.5,1.07,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_329830,foundation_food,329830,干白奶酪，queso seco,"Cheese, dry white, queso seco",24.5,24.3,2.07,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_330137,foundation_food,330137,希腊酸奶，原味，脱脂,"Yogurt, Greek, plain, nonfat",10.3,0.37,3.64,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_330415,foundation_food,330415,希腊酸奶，草莓味，脱脂,"Yogurt, Greek, strawberry, nonfat",8.06,0.15,12.2,,,,,Foundation Foods,
foundation_330458,foundation_food,330458,椰子油,"Oil, coconut",0.0,99.1,0.84,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_330869,foundation_food,330869,火鸡绞肉，93%瘦肉/7%脂肪，平底锅煎熟碎肉,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1,11.6,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_331897,foundation_food,331897,鸡小腿，仅肉，熟，炖煮,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",23.9,5.95,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_331960,foundation_food,331960,鸡胸肉，去皮去骨，仅肉，熟，炖煮,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",32.1,3.24,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_332282,foundation_food,332282,意大利面酱，番茄/玛丽娜拉，即食,"Sauce, pasta, spaghetti/marinara, ready-to-serve",1.41,1.48,8.05,,,,,Foundation Foods,
foundation_332397,foundation_food,332397,火腿片，预包装，熟食肉（96%无脂，加水）,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",16.7,3.73,0.27,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_332597,foundation_food,332597,巴特利特梨，生（含USDA食品分发计划食品）,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",0.38,0.16,15.1,,,,,Foundation Foods,
foundation_332791,foundation_food,332791,绿橄榄，曼萨尼亚品种，夹红椒,"Olives, green, Manzanilla, stuffed with pimiento",1.15,12.9,4.96,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_332864,foundation_food,332864,猪肉西班牙辣香肠，肠衣或绞肉，熟，平底锅煎,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3,28.1,2.63,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_333008,foundation_food,333008,燕麦葡萄干软曲奇,"Cookies, oatmeal, soft, with raisins",5.79,14.3,69.6,,,,,Foundation Foods,
foundation_333281,foundation_food,333281,红熟番茄丁罐头,"Tomatoes, canned, red, ripe, diced",0.84,0.5,3.32,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_333374,foundation_food,333374,黑线鳕，生,"Fish, haddock, raw",16.3,0.45,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_333476,foundation_food,333476,狭鳕，生,"Fish, pollock, raw",12.3,0.41,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_334194,foundation_food,334194,淡味金枪鱼罐头，水浸，沥干固形物,"Fish, tuna, light, canned in water, drained solids",19.0,0.94,0.08,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_334247,foundation_food,334247,白砂糖,"Sugars, granulated",0.0,0.32,99.6,,,,,Foundation Foods,
foundation_334462,foundation_food,334462,中餐馆咕咾肉,"Restaurant, Chinese, sweet and sour pork",8.88,13.6,25.5,,,,,Foundation Foods,
foundation_334536,foundation_food,334536,中餐馆炒饭，不含肉,"Restaurant, Chinese, fried rice, without meat",3.84,3.19,32.5,,,,,Foundation Foods,
foundation_334628,foundation_food,334628,拉丁餐厅猪肉塔马利,"Restaurant, Latino, tamale, pork",7.38,9.04,15.8,,,,,Foundation Foods,
foundation_334720,foundation_food,334720,拉丁餐厅豆馅玉米饼,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",5.59,9.01,31.5,,,,,Foundation Foods,
foundation_334849,foundation_food,334849,牛上腰肉牛排，去骨，带脂边，可分离瘦肉，修至1/8英寸脂肪，Choice等级，生,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8,6.39,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_334897,foundation_food,334897,牛里脊烤肉，可分离瘦肉，去骨，修至0英寸脂肪，Select等级，熟，烤制,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7,6.36,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_334898,foundation_food,334898,牛眼圆烤肉，去骨，可分离瘦肉，修至0英寸脂肪，Select等级，生,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4,2.48,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_334963,foundation_food,334963,牛上后腿圆肉烤肉，去骨，可分离瘦肉，修至0英寸脂肪，Select等级，生,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7,2.41,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_335061,foundation_food,335061,牛T骨牛排，带骨，可分离瘦肉，修至1/8英寸脂肪，Choice等级，熟，烤制,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3,11.4,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_335109,foundation_food,335109,牛波特豪斯牛排，可分离瘦肉，修至1/8英寸脂肪，Select等级，生,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7,5.32,0.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_335240,foundation_food,335240,全麦面包，商业生产,"Bread, whole-wheat, commercially prepared",12.3,3.55,43.1,,,,,Foundation Foods,
foundation_746764,foundation_food,746764,冷冻胡萝卜，未加工,"Carrots, frozen, unprepared",0.81,0.47,7.92,,,,,Foundation Foods,
foundation_746771,foundation_food,746771,脐橙，生,"Oranges, raw, navels",0.91,0.15,11.8,,,,,Foundation Foods,
foundation_746773,foundation_food,746773,巴特利特梨，生,"Pears, raw, bartlett",0.38,0.16,15.1,,,,,Foundation Foods,
foundation_746952,foundation_food,746952,火腿片，餐厅,"Ham, sliced, restaurant",19.6,3.68,2.36,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_747429,foundation_food,747429,美式奶酪，餐厅,"Cheese, American, restaurant",17.5,31.1,6.35,,,,,Foundation Foods,
foundation_747693,foundation_food,747693,番茄酱，餐厅,"Ketchup, restaurant",1.11,0.55,26.8,,,,,Foundation Foods,
foundation_747997,foundation_food,747997,鸡蛋，A级，大号，蛋白,"Eggs, Grade A, Large, egg white",10.7,0.0,2.36,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_748236,foundation_food,748236,鸡蛋，A级，大号，蛋黄,"Eggs, Grade A, Large, egg yolk",16.2,28.8,1.02,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_748967,foundation_food,748967,鸡蛋，A级，大号，全蛋,"Eggs, Grade A, Large, egg whole",12.4,9.96,0.96,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_749420,foundation_food,749420,腌制猪肉培根，熟，餐厅,"Pork, cured, bacon, cooked, restaurant",40.9,36.5,2.1,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_789890,foundation_food,789890,通用小麦粉，强化，漂白,"Flour, wheat, all-purpose, enriched, bleached",10.9,1.48,77.3,,,,,Foundation Foods,
foundation_789951,foundation_food,789951,通用小麦粉，强化，未漂白,"Flour, wheat, all-purpose, enriched, unbleached",13.1,1.48,73.2,,,,,Foundation Foods,
foundation_790018,foundation_food,790018,通用小麦粉，未强化，未漂白,"Flour, wheat, all-purpose, unenriched, unbleached",12.0,1.7,74.6,,,,,Foundation Foods,
foundation_790085,foundation_food,790085,全麦面粉，未强化,"Flour, whole wheat, unenriched",15.1,2.73,71.2,,,,,Foundation Foods,
foundation_790146,foundation_food,790146,白高筋面粉，强化，未漂白,"Flour, bread, white, enriched, unbleached",14.3,1.65,72.8,,,,,Foundation Foods,
foundation_790214,foundation_food,790214,白米粉，未强化,"Flour, rice, white, unenriched",6.94,1.3,79.8,,,,,Foundation Foods,
foundation_790276,foundation_food,790276,黄玉米粉，细粉，强化,"Flour, corn, yellow, fine meal, enriched",6.2,1.74,80.8,,,,,Foundation Foods,
foundation_790577,foundation_food,790577,红洋葱，生,"Onions, red, raw",0.94,0.1,9.93,,,,,Foundation Foods,
foundation_790646,foundation_food,790646,黄洋葱，生,"Onions, yellow, raw",0.83,0.05,8.61,,,,,Foundation Foods,
foundation_790774,foundation_food,790774,香蕉，过熟，生,"Bananas, overripe, raw",0.73,0.22,20.1,,,,,Foundation Foods,
foundation_790991,foundation_food,790991,香蕉，成熟或微熟，生,"Bananas, ripe and slightly ripe, raw",0.74,0.29,23.0,,,,,Foundation Foods,
foundation_1104647,foundation_food,1104647,大蒜，生,"Garlic, raw",6.62,0.38,28.2,,,,,Foundation Foods,
foundation_1104705,foundation_food,1104705,脱脂大豆粉,"Flour, soy, defatted",51.1,3.33,32.9,,,,,Foundation Foods,
foundation_1104766,foundation_food,1104766,全脂大豆粉,"Flour, soy, full-fat",38.6,20.7,27.9,,,,,Foundation Foods,
foundation_1104812,foundation_food,1104812,糙米粉,"Flour, rice, brown",7.19,3.85,75.5,,,,,Foundation Foods,
foundation_1104867,foundation_food,1104867,糯米粉,"Flour, rice, glutinous",6.69,1.16,80.1,,,,,Foundation Foods,
foundation_1104913,foundation_food,1104913,糕点面粉，未强化，未漂白,"Flour, pastry, unenriched, unbleached",8.75,1.64,77.2,,,,,Foundation Foods,
foundation_1104962,foundation_food,1104962,白洋葱，生,"Onions, white, raw",0.89,0.13,7.68,,,,,Foundation Foods,
foundation_1105430,foundation_food,1105430,红蛇果苹果，带皮，生,"Apples, red delicious, with skin, raw",0.19,0.21,14.8,,,,,Foundation Foods,
foundation_1105547,foundation_food,1105547,蜜脆苹果，带皮，生,"Apples, honeycrisp, with skin, raw",0.1,0.1,14.7,,,,,Foundation Foods,
foundation_1105664,foundation_food,1105664,青苹果，带皮，生,"Apples, granny smith, with skin, raw",0.27,0.14,14.2,,,,,Foundation Foods,
foundation_1105781,foundation_food,1105781,嘎啦苹果，带皮，生,"Apples, gala, with skin, raw",0.13,0.15,14.8,,,,,Foundation Foods,
foundation_1105897,foundation_food,1105897,富士苹果，带皮，生,"Apples, fuji, with skin, raw",0.15,0.16,15.7,,,,,Foundation Foods,
foundation_1750337,foundation_food,1750337,豆奶，无糖原味，常温保存,"Soy milk, unsweetened, plain, shelf stable",3.55,2.12,1.29,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_1750338,foundation_food,1750338,杏仁奶，无糖原味，常温保存,"Almond milk, unsweetened, plain, shelf stable",0.55,1.22,0.34,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_1750344,foundation_food,1750344,猴头菇,"Mushroom, lion's mane",2.5,0.26,7.59,,,,,Foundation Foods,
foundation_1750345,foundation_food,1750345,平菇,"Mushroom, oyster",2.9,0.19,6.94,,,,,Foundation Foods,
foundation_1750346,foundation_food,1750346,香菇,"Mushrooms, shiitake",2.41,0.2,8.17,,,,,Foundation Foods,
foundation_1750347,foundation_food,1750347,白蘑菇,"Mushrooms, white button",2.89,0.37,4.08,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_1750352,foundation_food,1750352,嫩菠菜,"Spinach, baby",2.85,0.62,2.41,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_1750353,foundation_food,1750353,成熟菠菜,"Spinach, mature",2.91,0.6,2.64,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_1750354,foundation_food,1750354,罗马番茄,"Tomato, roma",0.7,0.42,3.84,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2003586,foundation_food,2003586,00号面粉,"Flour, 00",11.4,1.52,74.45,,,,,Foundation Foods,
foundation_2003587,foundation_food,2003587,斯佩尔特小麦粉，全谷物,"Flour, spelt, whole grain",14.48,2.54,70.72,,,,,Foundation Foods,
foundation_2003588,foundation_food,2003588,粗粒小麦粉，粗和半粗,"Flour, semolina, coarse and semi-coarse",11.73,1.6,73.82,,,,,Foundation Foods,
foundation_2003589,foundation_food,2003589,细粒小麦粉,"Flour, semolina, fine",13.33,1.84,71.99,,,,,Foundation Foods,
foundation_2003590,foundation_food,2003590,苹果汁，添加维生素C，浓缩还原，常温保存,"Apple juice, with added vitamin C, from concentrate, shelf stable",0.09,0.29,11.36,,,,,Foundation Foods,
foundation_2003591,foundation_food,2003591,橙汁，无果肉，未强化，浓缩还原，冷藏,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.73,0.32,10.34,,,,,Foundation Foods,
foundation_2003592,foundation_food,2003592,紫葡萄汁，添加维生素C，浓缩还原，常温保存,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.26,0.29,15.62,,,,,Foundation Foods,
foundation_2003593,foundation_food,2003593,白葡萄汁，添加维生素C，浓缩还原，常温保存,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.09,0.26,15.84,,,,,Foundation Foods,
foundation_2003594,foundation_food,2003594,蔓越莓汁，未强化，浓缩还原，常温保存,"Cranberry juice, not fortified, from concentrate, shelf stable",0.0,0.34,7.26,,,,,Foundation Foods,
foundation_2003595,foundation_food,2003595,红葡萄柚汁，未强化，非浓缩还原，冷藏,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.57,0.27,9.1,,,,,Foundation Foods,
foundation_2003596,foundation_food,2003596,番茄汁，添加配料，浓缩还原，常温保存,"Tomato juice, with added ingredients, from concentrate, shelf stable",0.86,0.29,4.32,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2003597,foundation_food,2003597,橙汁，无果肉，未强化，非浓缩还原，冷藏,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.81,0.36,10.01,,,,,Foundation Foods,
foundation_2003598,foundation_food,2003598,波特贝拉蘑菇,"Mushroom, portabella",2.75,0.31,4.66,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2003599,foundation_food,2003599,杏鲍菇,"Mushroom, king oyster",2.41,0.31,8.5,,,,,Foundation Foods,
foundation_2003600,foundation_food,2003600,金针菇,"Mushroom, enoki",2.42,0.24,8.14,,,,,Foundation Foods,
foundation_2003601,foundation_food,2003601,褐蘑菇,"Mushroom, crimini",3.09,0.2,4.01,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2003602,foundation_food,2003602,舞茸菇,"Mushroom, maitake",2.2,0.26,6.6,,,,,Foundation Foods,
foundation_2003603,foundation_food,2003603,蟹味菇,"Mushroom, beech",2.18,0.45,6.76,,,,,Foundation Foods,
foundation_2003604,foundation_food,2003604,柳松菇,"Mushroom, pioppini",3.5,0.24,5.76,,,,,Foundation Foods,
foundation_2257044,foundation_food,2257044,豆奶，加糖原味，冷藏,"Soy milk, sweetened, plain, refrigerated",2.78,1.96,3.0,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2257045,foundation_food,2257045,杏仁奶，无糖原味，冷藏,"Almond milk, unsweetened, plain, refrigerated",0.66,1.56,0.67,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2257046,foundation_food,2257046,燕麦奶，无糖原味，冷藏,"Oat milk, unsweetened, plain, refrigerated",0.8,2.75,5.1,,,,,Foundation Foods,
foundation_2258586,foundation_food,2258586,成熟胡萝卜，生,"Carrots, mature, raw",0.94,0.35,10.27,,,,,Foundation Foods,
foundation_2258587,foundation_food,2258587,小胡萝卜，生,"Carrots, baby, raw",0.8,0.14,9.08,,,,,Foundation Foods,
foundation_2258588,foundation_food,2258588,青甜椒，生,"Peppers, bell, green, raw",0.72,0.11,4.78,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2258589,foundation_food,2258589,黄甜椒，生,"Peppers, bell, yellow, raw",0.82,0.12,6.6,,,,,Foundation Foods,
foundation_2258590,foundation_food,2258590,红甜椒，生,"Peppers, bell, red, raw",0.9,0.13,6.65,,,,,Foundation Foods,
foundation_2258591,foundation_food,2258591,橙色甜椒，生,"Peppers, bell, orange, raw",0.88,0.16,6.7,,,,,Foundation Foods,
foundation_2259792,foundation_food,2259792,低脂酪乳,"Buttermilk, low fat",3.46,1.08,4.81,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2259793,foundation_food,2259793,原味酸奶，全脂,"Yogurt, plain, whole milk",3.82,4.48,5.57,,,,,Foundation Foods,
foundation_2259794,foundation_food,2259794,希腊酸奶，原味，全脂,"Yogurt, Greek, plain, whole milk",8.78,4.39,4.75,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2259795,foundation_food,2259795,帕玛森奶酪，磨碎，冷藏,"Cheese, parmesan, grated, refrigerated",30.14,29.5,4.33,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_2259796,foundation_food,2259796,菲达奶酪，全脂奶，碎粒,"Cheese, feta, whole milk, crumbled",19.71,19.08,5.58,,,,,Foundation Foods,
foundation_2261420,foundation_food,2261420,杏仁粉,"Flour, almond",26.24,50.23,16.25,,,,,Foundation Foods,
foundation_2261421,foundation_food,2261421,燕麦粉，全谷物,"Flour, oat, whole grain",13.17,6.31,69.92,,,,,Foundation Foods,
foundation_2261422,foundation_food,2261422,马铃薯粉,"Flour, potato",8.11,0.95,79.94,,,,,Foundation Foods,
foundation_2262072,foundation_food,2262072,花生酱，顺滑型,"Peanut butter, creamy",23.99,49.43,22.7,,,,,Foundation Foods,
foundation_2262073,foundation_food,2262073,芝麻酱，顺滑型,"Sesame butter, creamy",19.71,62.4,14.18,,,,,Foundation Foods,
foundation_2262074,foundation_food,2262074,杏仁酱，顺滑型,"Almond butter, creamy",20.79,53.04,21.24,,,,,Foundation Foods,
foundation_2262075,foundation_food,2262075,亚麻籽，磨碎,"Flaxseed, ground",18.04,37.28,34.36,,,,,Foundation Foods,
